product_id,product_name,product_brand,product_category,product_price,product_currency,product_image_url,product_affiliate_url,product_paid_traffic_allowed,product_status,landing_page_id,landing_page_name,landing_page_slug,landing_page_status
,Sample Product 1,UrbanNest,Home Decor,1249,INR,https://m.media-amazon.com/images/I/61Q3z6z9F+L._SL1500_.jpg,https://example.com/dp/SAMPLE0001,FALSE,draft,,,sample-product-1,draft
,Sample Product 2,TechNova,Electronics Accessories,1499,INR,https://m.media-amazon.com/images/I/81c2z9b3E-L._SL1500_.jpg,https://example.com/dp/SAMPLE0002,FALSE,archived,,,sample-product-2,draft
,Sample Product 3,GlowLab,Skincare,1749,INR,https://m.media-amazon.com/images/I/71ofUdtvNtL._SL1500_.jpg,https://example.com/dp/SAMPLE0003,TRUE,live,,,sample-product-3,live
,Sample Product 4,PetJoy,Pet Supplies,1999,INR,https://m.media-amazon.com/images/I/61Q3z6z9F+L._SL1500_.jpg,https://example.com/dp/SAMPLE0004,FALSE,draft,,,sample-product-4,draft
,Sample Product 5,CookWell,Kitchen Tools,2249,INR,https://m.media-amazon.com/images/I/81c2z9b3E-L._SL1500_.jpg,https://example.com/dp/SAMPLE0005,FALSE,archived,,,,
,Sample Product 6,ZenDesk,Office Essentials,2499,INR,https://m.media-amazon.com/images/I/71ofUdtvNtL._SL1500_.jpg,https://example.com/dp/SAMPLE0006,TRUE,live,,,sample-product-6,live
,Sample Product 7,TrailMate,Outdoor Gear,2749,INR,https://m.media-amazon.com/images/I/61Q3z6z9F+L._SL1500_.jpg,https://example.com/dp/SAMPLE0007,FALSE,draft,,,sample-product-7,draft
,Sample Product 8,FitTrip,Mens Workout,2999,INR,https://m.media-amazon.com/images/I/81c2z9b3E-L._SL1500_.jpg,https://example.com/dp/SAMPLE0008,FALSE,archived,,,sample-product-8,draft
,Sample Product 9,UrbanNest,Home Decor,3249,INR,https://m.media-amazon.com/images/I/71ofUdtvNtL._SL1500_.jpg,https://example.com/dp/SAMPLE0009,TRUE,live,,,sample-product-9,live
,Sample Product 10,TechNova,Electronics Accessories,3499,INR,https://m.media-amazon.com/images/I/61Q3z6z9F+L._SL1500_.jpg,https://example.com/dp/SAMPLE0010,FALSE,draft,,,,
,Sample Product 11,GlowLab,Skincare,3749,INR,https://m.media-amazon.com/images/I/81c2z9b3E-L._SL1500_.jpg,https://example.com/dp/SAMPLE0011,FALSE,archived,,,sample-product-11,draft
,Sample Product 12,PetJoy,Pet Supplies,3999,INR,https://m.media-amazon.com/images/I/71ofUdtvNtL._SL1500_.jpg,https://example.com/dp/SAMPLE0012,TRUE,live,,,sample-product-12,live
,Sample Product 13,CookWell,Kitchen Tools,4249,INR,https://m.media-amazon.com/images/I/61Q3z6z9F+L._SL1500_.jpg,https://example.com/dp/SAMPLE0013,FALSE,draft,,,sample-product-13,draft
,Sample Product 14,ZenDesk,Office Essentials,4499,INR,https://m.media-amazon.com/images/I/81c2z9b3E-L._SL1500_.jpg,https://example.com/dp/SAMPLE0014,FALSE,archived,,,sample-product-14,draft
,Sample Product 15,TrailMate,Outdoor Gear,4749,INR,https://m.media-amazon.com/images/I/71ofUdtvNtL._SL1500_.jpg,https://example.com/dp/SAMPLE0015,TRUE,live,,,,
,Sample Product 16,FitTrip,Mens Workout,4999,INR,https://m.media-amazon.com/images/I/61Q3z6z9F+L._SL1500_.jpg,https://example.com/dp/SAMPLE0016,FALSE,draft,,,sample-product-16,draft
,Sample Product 17,UrbanNest,Home Decor,5249,INR,https://m.media-amazon.com/images/I/81c2z9b3E-L._SL1500_.jpg,https://example.com/dp/SAMPLE0017,FALSE,archived,,,sample-product-17,draft
